"gene","cluster","species","percent_expressed","n_high_expression_celltype","n_gene_per_cluster"
"Lim3","GABA_8","Dsim",0.65,6,24
"Sox21b","GABA_8","Dmel",0.464,11,24
"Sox21b","GABA_8","Dsec",0.604,11,24
"Sox21b","GABA_8","Dsim",0.439,11,24
"SoxN","GABA_8","Dmel",0.69,14,24
"SoxN","GABA_8","Dsec",0.495,14,24
"SoxN","GABA_8","Dsim",0.643,14,24
"bi","GABA_8","Dmel",0.94,18,24
"bi","GABA_8","Dsec",0.937,18,24
"bi","GABA_8","Dsim",0.909,18,24
"salr","GABA_8","Dmel",0.321,15,24
"salr","GABA_8","Dsec",0.405,15,24
"salr","GABA_8","Dsim",0.315,15,24
"D","GABA_9","Dmel",0.3,3,37
"D","GABA_9","Dsec",0.426,3,37
"D","GABA_9","Dsim",0.444,3,37
"Ets65A","GABA_9","Dmel",0.512,13,37
"Ets65A","GABA_9","Dsec",0.77,13,37
"Ets65A","GABA_9","Dsim",0.689,13,37
"Sox21b","GABA_9","Dmel",0.575,11,37
"Sox21b","GABA_9","Dsec",0.6,11,37
"Sox21b","GABA_9","Dsim",0.644,11,37
"aop","GABA_9","Dmel",0.512,13,37
"aop","GABA_9","Dsec",0.639,13,37
"aop","GABA_9","Dsim",0.578,13,37
"grn","GABA_9","Dmel",0.7,9,37
"grn","GABA_9","Dsec",0.574,9,37
"grn","GABA_9","Dsim",0.481,9,37
"sr","GABA_9","Dmel",0.35,14,37
"sr","GABA_9","Dsec",0.471,14,37
"sr","GABA_9","Dsim",0.6,14,37
"zld","GABA_9","Dmel",0.6,19,37
"zld","GABA_9","Dsec",0.541,19,37
"zld","GABA_9","Dsim",0.385,19,37
"Atf6","Glu_10","Dmel",0.513,9,52
"Atf6","Glu_10","Dsec",0.389,9,52
"Atf6","Glu_10","Dsim",0.454,9,52
"Lmx1a","Glu_10","Dmel",0.359,3,52
"Lmx1a","Glu_10","Dsec",0.313,3,52
"Lmx1a","Glu_10","Dsim",0.368,3,52
"Sp1","Glu_10","Dmel",0.346,5,52
"Sp1","Glu_10","Dsec",0.386,5,52
"Sp1","Glu_10","Dsim",0.326,5,52
"fkh","Glu_10","Dmel",0.333,16,52
"fkh","Glu_10","Dsec",0.389,16,52
"fkh","Glu_10","Dsim",0.463,16,52
"mirr","Glu_10","Dmel",0.808,6,52
"mirr","Glu_10","Dsec",0.687,6,52
"mirr","Glu_10","Dsim",0.895,6,52
"rn","Glu_10","Dmel",0.538,17,52
"rn","Glu_10","Dsec",0.373,17,52
"rn","Glu_10","Dsim",0.485,17,52
"salm","Glu_10","Dmel",0.449,12,52
"salm","Glu_10","Dsec",0.687,12,52
"salm","Glu_10","Dsim",0.653,12,52
"salr","Glu_10","Dmel",0.641,15,52
"salr","Glu_10","Dsec",0.558,15,52
"salr","Glu_10","Dsim",0.619,15,52
"scro","Glu_10","Dmel",0.526,5,52
"scro","Glu_10","Dsec",0.422,5,52
"scro","Glu_10","Dsim",0.495,5,52
"vvl","Glu_10","Dmel",0.923,20,52
"vvl","Glu_10","Dsec",0.952,20,52
"vvl","Glu_10","Dsim",0.926,20,52
"Ets65A","Glu_11","Dmel",0.731,13,71
"Ets65A","Glu_11","Dsec",0.722,13,71
"Ets65A","Glu_11","Dsim",0.75,13,71
"Lmx1a","Glu_11","Dmel",0.628,3,71
"Lmx1a","Glu_11","Dsec",0.731,3,71
"Lmx1a","Glu_11","Dsim",0.681,3,71
"TfAP-2","Glu_11","Dmel",0.321,2,71
"TfAP-2","Glu_11","Dsec",0.375,2,71
"TfAP-2","Glu_11","Dsim",0.382,2,71
"fkh","Glu_11","Dmel",0.731,16,71
"fkh","Glu_11","Dsec",0.639,16,71
"fkh","Glu_11","Dsim",0.779,16,71
"hbn","Glu_11","Dmel",0.564,4,71
"hbn","Glu_11","Dsec",0.462,4,71
"hbn","Glu_11","Dsim",0.456,4,71
"rn","Glu_11","Dmel",0.769,17,71
"rn","Glu_11","Dsec",0.722,17,71
"rn","Glu_11","Dsim",0.696,17,71
"salm","Glu_11","Dmel",0.551,12,71
"salm","Glu_11","Dsec",0.736,12,71
"salm","Glu_11","Dsim",0.691,12,71
"salr","Glu_11","Dmel",0.577,15,71
"salr","Glu_11","Dsec",0.59,15,71
"salr","Glu_11","Dsim",0.58,15,71
"CG14431","Glu_12","Dmel",0.415,9,58
"CG14431","Glu_12","Dsec",0.641,9,58
"CG14431","Glu_12","Dsim",0.5,9,58
"Sp1","Glu_12","Dmel",1,5,58
"Sp1","Glu_12","Dsec",1,5,58
"Sp1","Glu_12","Dsim",0.95,5,58
"ara","Glu_12","Dmel",0.446,7,58
"ara","Glu_12","Dsec",0.469,7,58
"ara","Glu_12","Dsim",0.493,7,58
"caup","Glu_12","Dmel",0.646,10,58
"caup","Glu_12","Dsec",0.703,10,58
"caup","Glu_12","Dsim",0.637,10,58
"dac","Glu_12","Dmel",0.723,19,58
"dac","Glu_12","Dsec",0.667,19,58
"dac","Glu_12","Dsim",0.662,19,58
"fkh","Glu_12","Dmel",0.615,16,58
"fkh","Glu_12","Dsec",0.771,16,58
"fkh","Glu_12","Dsim",0.733,16,58
"hbn","Glu_12","Dmel",0.477,4,58
"hbn","Glu_12","Dsec",0.438,4,58
"hbn","Glu_12","Dsim",0.493,4,58
"salm","Glu_12","Dmel",0.369,12,58
"salm","Glu_12","Dsec",0.354,12,58
"salm","Glu_12","Dsim",0.373,12,58
"salr","Glu_12","Dmel",0.477,15,58
"salr","Glu_12","Dsec",0.406,15,58
"salr","Glu_12","Dsim",0.387,15,58
"CG32532","Glu_13","Dmel",0.441,14,27
"CG32532","Glu_13","Dsec",0.36,14,27
"CG32532","Glu_13","Dsim",0.326,14,27
"CG43689","Glu_13","Dmel",0.301,4,27
"CG43689","Glu_13","Dsec",0.42,4,27
"CG43689","Glu_13","Dsim",0.389,4,27
"Optix","Glu_13","Dmel",0.366,10,27
"Optix","Glu_13","Dsec",0.38,10,27
"Optix","Glu_13","Dsim",0.347,10,27
"dac","Glu_13","Dmel",0.301,19,27
"dac","Glu_13","Dsec",0.32,19,27
"dac","Glu_13","Dsim",0.337,19,27
"rn","Glu_13","Dmel",0.344,17,27
"rn","Glu_13","Dsec",0.34,17,27
"rn","Glu_13","Dsim",0.327,17,27
"CG43689","Glu_14","Dmel",0.792,4,30
"CG43689","Glu_14","Dsec",0.89,4,30
"CG43689","Glu_14","Dsim",0.65,4,30
"caup","Glu_14","Dmel",0.509,10,30
"caup","Glu_14","Dsec",0.457,10,30
"caup","Glu_14","Dsim",0.4,10,30
"rn","Glu_14","Dmel",0.396,17,30
"rn","Glu_14","Dsec",0.534,17,30
"rn","Glu_14","Dsim",0.526,17,30
"bi","Glu_15","Dmel",0.927,18,22
"bi","Glu_15","Dsec",0.84,18,22
"bi","Glu_15","Dsim",0.9,18,22
"oc","Glu_15","Dmel",0.39,4,22
"oc","Glu_15","Dsec",0.533,4,22
"oc","Glu_15","Dsim",0.474,4,22
"rn","Glu_15","Dmel",0.634,17,22
"rn","Glu_15","Dsec",0.533,17,22
"rn","Glu_15","Dsim",0.65,17,22
"bi","Glu_2","Dmel",0.667,18,9
"bi","Glu_2","Dsec",0.552,18,9
"bi","Glu_2","Dsim",0.591,18,9
"salm","Glu_3","Dmel",0.312,12,31
"salm","Glu_3","Dsec",0.349,12,31
"salm","Glu_3","Dsim",0.413,12,31
"salr","Glu_3","Dmel",0.373,15,31
"salr","Glu_3","Dsec",0.317,15,31
"salr","Glu_3","Dsim",0.389,15,31
"zld","Glu_3","Dmel",0.369,19,31
"zld","Glu_3","Dsec",0.314,19,31
"zld","Glu_3","Dsim",0.375,19,31
"bi","Glu_5","Dmel",0.657,18,11
"bi","Glu_5","Dsec",0.634,18,11
"bi","Glu_5","Dsim",0.614,18,11
"SoxN","Glu_6","Dmel",0.529,14,17
"SoxN","Glu_6","Dsec",0.371,14,17
"SoxN","Glu_6","Dsim",0.53,14,17
"grn","Glu_6","Dmel",0.832,9,17
"grn","Glu_6","Dsec",0.7,9,17
"grn","Glu_6","Dsim",0.673,9,17
"mirr","Glu_6","Dmel",0.366,6,17
"mirr","Glu_6","Dsec",0.335,6,17
"mirr","Glu_6","Dsim",0.396,6,17
"zld","Glu_6","Dmel",0.345,19,17
"zld","Glu_6","Dsec",0.367,19,17
"zld","Glu_6","Dsim",0.386,19,17
"RunxA","Glu_7","Dmel",0.381,4,35
"RunxA","Glu_7","Dsec",0.33,4,35
"RunxA","Glu_7","Dsim",0.446,4,35
"Rx","Glu_7","Dmel",0.339,4,35
"Rx","Glu_7","Dsec",0.423,4,35
"Rx","Glu_7","Dsim",0.313,4,35
"Smox","Glu_7","Dmel",0.305,5,35
"Smox","Glu_7","Dsec",0.333,5,35
"Smox","Glu_7","Dsim",0.41,5,35
"Sp1","Glu_7","Dmel",0.856,5,35
"Sp1","Glu_7","Dsec",0.703,5,35
"Sp1","Glu_7","Dsim",0.774,5,35
"ara","Glu_7","Dmel",0.593,7,35
"ara","Glu_7","Dsec",0.577,7,35
"ara","Glu_7","Dsim",0.613,7,35
"caup","Glu_7","Dmel",0.754,10,35
"caup","Glu_7","Dsec",0.712,10,35
"caup","Glu_7","Dsim",0.71,10,35
"dac","Glu_7","Dmel",0.576,19,35
"dac","Glu_7","Dsec",0.432,19,35
"dac","Glu_7","Dsim",0.516,19,35
"fkh","Glu_7","Dmel",0.653,16,35
"fkh","Glu_7","Dsec",0.67,16,35
"fkh","Glu_7","Dsim",0.747,16,35
"hbn","Glu_7","Dmel",0.415,4,35
"hbn","Glu_7","Dsec",0.341,4,35
"hbn","Glu_7","Dsim",0.398,4,35
"salm","Glu_7","Dmel",0.475,12,35
"salm","Glu_7","Dsec",0.631,12,35
"salm","Glu_7","Dsim",0.518,12,35
"salr","Glu_7","Dmel",0.542,15,35
"salr","Glu_7","Dsec",0.64,15,35
"salr","Glu_7","Dsim",0.548,15,35
"vvl","Glu_7","Dmel",0.475,20,35
"vvl","Glu_7","Dsec",0.648,20,35
"vvl","Glu_7","Dsim",0.446,20,35
"zld","Glu_7","Dmel",0.636,19,35
"zld","Glu_7","Dsec",0.396,19,35
"zld","Glu_7","Dsim",0.581,19,35
"Sox21b","Glu_8","Dmel",0.394,11,25
"Sox21b","Glu_8","Dsec",0.457,11,25
"Sox21b","Glu_8","Dsim",0.581,11,25
"mld","Glu_8","Dmel",0.385,6,25
"mld","Glu_8","Dsec",0.312,6,25
"mld","Glu_8","Dsim",0.394,6,25
"zld","Glu_8","Dmel",0.33,19,25
"zld","Glu_8","Dsec",0.318,19,25
"zld","Glu_8","Dsim",0.468,19,25
"CG32532","Glu_9","Dmel",0.588,14,51
"CG32532","Glu_9","Dsec",0.536,14,51
"CG32532","Glu_9","Dsim",0.516,14,51
"Myc","Glu_9","Dmel",0.3,11,51
"Myc","Glu_9","Dsec",0.6,11,51
"Myc","Glu_9","Dsim",0.648,11,51
"Smox","Glu_9","Dmel",0.388,5,51
"Smox","Glu_9","Dsec",0.336,5,51
"Smox","Glu_9","Dsim",0.312,5,51
"bi","Glu_9","Dmel",0.875,18,51
"bi","Glu_9","Dsec",0.621,18,51
"bi","Glu_9","Dsim",0.672,18,51
"bsh","Glu_9","Dmel",0.537,3,51
"bsh","Glu_9","Dsec",0.436,3,51
"bsh","Glu_9","Dsim",0.451,3,51
"dac","Glu_9","Dmel",0.637,19,51
"dac","Glu_9","Dsec",0.618,19,51
"dac","Glu_9","Dsim",0.625,19,51
"tup","Glu_9","Dmel",0.713,8,51
"tup","Glu_9","Dsec",0.736,8,51
"tup","Glu_9","Dsim",0.672,8,51
"CG32772","MS","Dmel",0.32,1,41
"CG32772","MS","Dsec",0.394,1,41
"CG32772","MS","Dsim",0.321,1,41
"Stat92E","MS","Dmel",0.44,11,41
"Stat92E","MS","Dsec",0.515,11,41
"Stat92E","MS","Dsim",0.607,11,41
"foxo","MS","Dmel",0.76,7,41
"foxo","MS","Dsec",0.727,7,41
"foxo","MS","Dsim",0.714,7,41
"vvl","MS","Dmel",0.64,20,41
"vvl","MS","Dsec",0.788,20,41
"vvl","MS","Dsim",0.821,20,41
"Ets65A","Mip","Dmel",0.408,13,13
"Ets65A","Mip","Dsec",0.483,13,13
"Ets65A","Mip","Dsim",0.5,13,13
"Optix","Mip","Dmel",0.492,10,13
"Optix","Mip","Dsec",0.505,10,13
"Optix","Mip","Dsim",0.54,10,13
"Rx","Mip","Dmel",0.363,4,13
"Rx","Mip","Dsec",0.349,4,13
"Rx","Mip","Dsim",0.395,4,13
"Ets65A","NPF_AstA","Dmel",0.761,13,72
"Ets65A","NPF_AstA","Dsec",0.672,13,72
"Ets65A","NPF_AstA","Dsim",0.661,13,72
"Ets96B","NPF_AstA","Dmel",0.478,1,72
"Ets96B","NPF_AstA","Dsec",0.607,1,72
"Ets96B","NPF_AstA","Dsim",0.414,1,72
"Optix","NPF_AstA","Dmel",0.687,10,72
"Optix","NPF_AstA","Dsec",0.726,10,72
"Optix","NPF_AstA","Dsim",0.732,10,72
"Rx","NPF_AstA","Dmel",0.91,4,72
"Rx","NPF_AstA","Dsec",0.887,4,72
"Rx","NPF_AstA","Dsim",0.862,4,72
"aop","NPF_AstA","Dmel",0.985,13,72
"aop","NPF_AstA","Dsec",0.952,13,72
"aop","NPF_AstA","Dsim",0.982,13,72
"pnt","NPF_AstA","Dmel",1,5,72
"pnt","NPF_AstA","Dsec",0.774,5,72
"pnt","NPF_AstA","Dsim",0.857,5,72
"CG32532","NPF_Dh31","Dmel",0.457,14,30
"CG32532","NPF_Dh31","Dsec",0.413,14,30
"CG32532","NPF_Dh31","Dsim",0.355,14,30
"Ets65A","NPF_Dh31","Dmel",0.55,13,30
"Ets65A","NPF_Dh31","Dsec",0.532,13,30
"Ets65A","NPF_Dh31","Dsim",0.468,13,30
"Optix","NPF_Dh31","Dmel",0.667,10,30
"Optix","NPF_Dh31","Dsec",0.564,10,30
"Optix","NPF_Dh31","Dsim",0.694,10,30
"zld","NPF_Dh31","Dmel",0.372,19,30
"zld","NPF_Dh31","Dsec",0.532,19,30
"zld","NPF_Dh31","Dsim",0.338,19,30
"CG32532","OCTY","Dmel",0.513,14,61
"CG32532","OCTY","Dsec",0.583,14,61
"CG32532","OCTY","Dsim",0.519,14,61
"da","OCTY","Dmel",0.333,12,61
"da","OCTY","Dsec",0.306,12,61
"da","OCTY","Dsim",0.407,12,61
"dac","OCTY","Dmel",0.59,19,61
"dac","OCTY","Dsec",0.778,19,61
"dac","OCTY","Dsim",0.815,19,61
"CG14431","OPN","Dmel",0.719,9,47
"CG14431","OPN","Dsec",0.63,9,47
"CG14431","OPN","Dsim",0.522,9,47
"acj6","OPN","Dmel",0.747,7,47
"acj6","OPN","Dsec",0.693,7,47
"acj6","OPN","Dsim",0.711,7,47
"mirr","OPN","Dmel",0.509,6,47
"mirr","OPN","Dsec",0.394,6,47
"mirr","OPN","Dsim",0.386,6,47
"tup","OPN","Dmel",0.423,8,47
"tup","OPN","Dsec",0.481,8,47
"tup","OPN","Dsim",0.392,8,47
"Drgx","PRN","Dmel",0.652,2,67
"Drgx","PRN","Dsec",0.647,2,67
"Drgx","PRN","Dsim",0.605,2,67
"Eip74EF","PRN","Dmel",0.419,3,67
"Eip74EF","PRN","Dsec",0.4,3,67
"Eip74EF","PRN","Dsim",0.393,3,67
"Hnf4","PRN","Dmel",0.544,2,67
"Hnf4","PRN","Dsec",0.47,2,67
"Hnf4","PRN","Dsim",0.494,2,67
"cnc","PRN","Dmel",0.503,16,67
"cnc","PRN","Dsec",0.605,16,67
"cnc","PRN","Dsim",0.638,16,67
"dve","PRN","Dmel",0.893,3,67
"dve","PRN","Dsec",0.91,3,67
"dve","PRN","Dsim",0.933,3,67
"foxo","PRN","Dmel",0.446,7,67
"foxo","PRN","Dsec",0.444,7,67
"foxo","PRN","Dsim",0.545,7,67
"klu","PRN","Dmel",0.535,1,67
"klu","PRN","Dsec",0.487,1,67
"klu","PRN","Dsim",0.361,1,67
"svp","PRN","Dmel",0.426,3,67
"svp","PRN","Dsec",0.315,3,67
"svp","PRN","Dsim",0.397,3,67
"D","Poxn_1","Dmel",0.527,3,78
"D","Poxn_1","Dsec",0.569,3,78
"D","Poxn_1","Dsim",0.569,3,78
"Poxn","Poxn_1","Dmel",0.623,4,78
"Poxn","Poxn_1","Dsec",0.374,4,78
"Poxn","Poxn_1","Dsim",0.48,4,78
"Sox21b","Poxn_1","Dmel",0.767,11,78
"Sox21b","Poxn_1","Dsec",0.866,11,78
"Sox21b","Poxn_1","Dsim",0.791,11,78
"SoxN","Poxn_1","Dmel",0.829,14,78
"SoxN","Poxn_1","Dsec",0.6,14,78
"SoxN","Poxn_1","Dsim",0.725,14,78
"ara","Poxn_1","Dmel",0.377,7,78
"ara","Poxn_1","Dsec",0.546,7,78
"ara","Poxn_1","Dsim",0.488,7,78
"caup","Poxn_1","Dmel",0.384,10,78
"caup","Poxn_1","Dsec",0.597,10,78
"caup","Poxn_1","Dsim",0.561,10,78
"da","Poxn_1","Dmel",0.363,12,78
"da","Poxn_1","Dsec",0.374,12,78
"da","Poxn_1","Dsim",0.319,12,78
"grn","Poxn_1","Dmel",0.945,9,78
"grn","Poxn_1","Dsec",0.856,9,78
"grn","Poxn_1","Dsim",0.78,9,78
"sr","Poxn_1","Dmel",0.301,14,78
"sr","Poxn_1","Dsec",0.475,14,78
"sr","Poxn_1","Dsim",0.301,14,78
"Poxn","Poxn_2","Dmel",0.528,4,31
"Poxn","Poxn_2","Dsec",0.531,4,31
"Poxn","Poxn_2","Dsim",0.548,4,31
"Ptx1","Poxn_2","Dmel",0.39,2,31
"Ptx1","Poxn_2","Dsec",0.447,2,31
"Ptx1","Poxn_2","Dsim",0.493,2,31
"grn","Poxn_2","Dmel",0.544,9,31
"grn","Poxn_2","Dsec",0.43,9,31
"grn","Poxn_2","Dsim",0.387,9,31
"mirr","Poxn_2","Dmel",0.569,6,31
"mirr","Poxn_2","Dsec",0.535,6,31
"mirr","Poxn_2","Dsim",0.78,6,31
"pho","Poxn_2","Dmel",0.318,3,31
"pho","Poxn_2","Dsec",0.383,3,31
"pho","Poxn_2","Dsim",0.345,3,31
"sr","Poxn_2","Dmel",0.405,14,31
"sr","Poxn_2","Dsec",0.414,14,31
"sr","Poxn_2","Dsim",0.4,14,31
"zld","Poxn_2","Dmel",0.379,19,31
"zld","Poxn_2","Dsec",0.43,19,31
"zld","Poxn_2","Dsim",0.452,19,31
"D","Poxn_3","Dmel",0.448,3,75
"D","Poxn_3","Dsec",0.412,3,75
"D","Poxn_3","Dsim",0.571,3,75
"Hr38","Poxn_3","Dmel",0.425,1,75
"Hr38","Poxn_3","Dsec",0.619,1,75
"Hr38","Poxn_3","Dsim",0.451,1,75
"Poxn","Poxn_3","Dmel",0.563,4,75
"Poxn","Poxn_3","Dsec",0.505,4,75
"Poxn","Poxn_3","Dsim",0.647,4,75
"Sox21b","Poxn_3","Dmel",0.529,11,75
"Sox21b","Poxn_3","Dsec",0.753,11,75
"Sox21b","Poxn_3","Dsim",0.714,11,75
"SoxN","Poxn_3","Dmel",0.805,14,75
"SoxN","Poxn_3","Dsec",0.67,14,75
"SoxN","Poxn_3","Dsim",0.853,14,75
"grn","Poxn_3","Dmel",0.897,9,75
"grn","Poxn_3","Dsec",0.745,9,75
"grn","Poxn_3","Dsim",0.747,9,75
"mirr","Poxn_3","Dmel",0.586,6,75
"mirr","Poxn_3","Dsec",0.557,6,75
"mirr","Poxn_3","Dsim",0.813,6,75
"sv","Poxn_3","Dmel",0.494,4,75
"sv","Poxn_3","Dsec",0.549,4,75
"sv","Poxn_3","Dsim",0.451,4,75
"Sox21b","Poxn_4","Dmel",0.597,11,43
"Sox21b","Poxn_4","Dsec",0.792,11,43
"Sox21b","Poxn_4","Dsim",0.741,11,43
"SoxN","Poxn_4","Dmel",0.649,14,43
"SoxN","Poxn_4","Dsec",0.345,14,43
"SoxN","Poxn_4","Dsim",0.69,14,43
"ara","Poxn_4","Dmel",0.455,7,43
"ara","Poxn_4","Dsec",0.361,7,43
"ara","Poxn_4","Dsim",0.328,7,43
"caup","Poxn_4","Dmel",0.636,10,43
"caup","Poxn_4","Dsec",0.569,10,43
"caup","Poxn_4","Dsim",0.379,10,43
"grn","Poxn_4","Dmel",0.558,9,43
"grn","Poxn_4","Dsec",0.564,9,43
"grn","Poxn_4","Dsim",0.586,9,43
"sv","Poxn_4","Dmel",0.701,4,43
"sv","Poxn_4","Dsec",0.597,4,43
"sv","Poxn_4","Dsim",0.481,4,43
"zld","Poxn_4","Dmel",0.857,19,43
"zld","Poxn_4","Dsec",0.709,19,43
"zld","Poxn_4","Dsim",0.844,19,43
"Sox21b","Poxn_5","Dmel",0.542,11,44
"Sox21b","Poxn_5","Dsec",0.867,11,44
"Sox21b","Poxn_5","Dsim",0.857,11,44
"SoxN","Poxn_5","Dmel",0.958,14,44
"SoxN","Poxn_5","Dsec",0.621,14,44
"SoxN","Poxn_5","Dsim",0.667,14,44
"grn","Poxn_5","Dmel",0.958,9,44
"grn","Poxn_5","Dsec",0.833,9,44
"grn","Poxn_5","Dsim",0.667,9,44
"sv","Poxn_5","Dmel",0.75,4,44
"sv","Poxn_5","Dsec",0.767,4,44
"sv","Poxn_5","Dsim",0.524,4,44
"Dr","Poxn_6","Dmel",0.636,1,95
"Dr","Poxn_6","Dsec",0.6,1,95
"Dr","Poxn_6","Dsim",0.5,1,95
"HLH3B","Poxn_6","Dmel",0.636,1,95
"HLH3B","Poxn_6","Dsec",0.45,1,95
"HLH3B","Poxn_6","Dsim",0.5,1,95
"Poxn","Poxn_6","Dmel",0.727,4,95
"Poxn","Poxn_6","Dsec",0.3,4,95
"Poxn","Poxn_6","Dsim",0.75,4,95
"Sox21b","Poxn_6","Dmel",0.818,11,95
"Sox21b","Poxn_6","Dsec",0.84,11,95
"Sox21b","Poxn_6","Dsim",0.75,11,95
"SoxN","Poxn_6","Dmel",0.818,14,95
"SoxN","Poxn_6","Dsec",0.7,14,95
"SoxN","Poxn_6","Dsim",0.667,14,95
"CG14431","RYa","Dmel",0.794,9,81
"CG14431","RYa","Dsec",0.701,9,81
"CG14431","RYa","Dsim",0.561,9,81
"CG32532","RYa","Dmel",0.5,14,81
"CG32532","RYa","Dsec",0.468,14,81
"CG32532","RYa","Dsim",0.431,14,81
"Myc","RYa","Dmel",0.324,11,81
"Myc","RYa","Dsec",0.753,11,81
"Myc","RYa","Dsim",0.583,11,81
"aop","RYa","Dmel",0.338,13,81
"aop","RYa","Dsec",0.338,13,81
"aop","RYa","Dsim",0.545,13,81
"bi","RYa","Dmel",0.735,18,81
"bi","RYa","Dsec",0.853,18,81
"bi","RYa","Dsim",0.875,18,81
"bsh","RYa","Dmel",0.485,3,81
"bsh","RYa","Dsec",0.455,3,81
"bsh","RYa","Dsim",0.333,3,81
"dac","RYa","Dmel",0.471,19,81
"dac","RYa","Dsec",0.571,19,81
"dac","RYa","Dsim",0.389,19,81
"dve","RYa","Dmel",0.559,3,81
"dve","RYa","Dsec",0.597,3,81
"dve","RYa","Dsim",0.75,3,81
"mld","RYa","Dmel",0.529,6,81
"mld","RYa","Dsec",0.494,6,81
"mld","RYa","Dsim",0.625,6,81
"tup","RYa","Dmel",0.5,8,81
"tup","RYa","Dsec",0.597,8,81
"tup","RYa","Dsim",0.439,8,81
"Hr3","SER","Dmel",0.333,5,66
"Hr3","SER","Dsec",0.409,5,66
"Hr3","SER","Dsim",0.536,5,66
"Lim3","SER","Dmel",0.833,6,66
"Lim3","SER","Dsec",0.636,6,66
"Lim3","SER","Dsim",0.63,6,66
"cnc","SER","Dmel",0.458,16,66
"cnc","SER","Dsec",0.727,16,66
"cnc","SER","Dsim",0.37,16,66
"inv","SER","Dmel",0.417,2,66
"inv","SER","Dsec",0.545,2,66
"inv","SER","Dsim",0.407,2,66
"pdm2","SER","Dmel",0.375,1,66
"pdm2","SER","Dsec",0.591,1,66
"pdm2","SER","Dsim",0.63,1,66
"salm","SER","Dmel",0.667,12,66
"salm","SER","Dsec",0.773,12,66
"salm","SER","Dsim",0.667,12,66
"salr","SER","Dmel",0.708,15,66
"salr","SER","Dsec",0.864,15,66
"salr","SER","Dsim",0.679,15,66
"sr","SER","Dmel",0.333,14,66
"sr","SER","Dsec",0.545,14,66
"sr","SER","Dsim",0.37,14,66
"svp","SER","Dmel",0.458,3,66
"svp","SER","Dsec",0.5,3,66
"svp","SER","Dsim",0.333,3,66
"tup","SER","Dmel",0.833,8,66
"tup","SER","Dsec",0.682,8,66
"tup","SER","Dsim",0.63,8,66
"vvl","SER","Dmel",0.917,20,66
"vvl","SER","Dsec",1,20,66
"vvl","SER","Dsim",0.893,20,66
"Atf3","SUB","Dmel",0.317,1,74
"Atf3","SUB","Dsec",0.311,1,74
"Atf3","SUB","Dsim",0.333,1,74
"Eip74EF","SUB","Dmel",0.4,3,74
"Eip74EF","SUB","Dsec",0.489,3,74
"Eip74EF","SUB","Dsim",0.476,3,74
"cnc","SUB","Dmel",0.533,16,74
"cnc","SUB","Dsec",0.738,16,74
"cnc","SUB","Dsim",0.762,16,74
"cwo","SUB","Dmel",0.383,3,74
"cwo","SUB","Dsec",0.489,3,74
"cwo","SUB","Dsim",0.476,3,74
"dar1","SUB","Dmel",0.333,1,74
"dar1","SUB","Dsec",0.422,1,74
"dar1","SUB","Dsim",0.455,1,74
"foxo","SUB","Dmel",0.5,7,74
"foxo","SUB","Dsec",0.446,7,74
"foxo","SUB","Dsim",0.619,7,74
"grn","SUB","Dmel",0.4,9,74
"grn","SUB","Dsec",0.356,9,74
"grn","SUB","Dsim",0.394,9,74
"ovo","SUB","Dmel",0.567,1,74
"ovo","SUB","Dsec",0.431,1,74
"ovo","SUB","Dsim",0.476,1,74
"vvl","SUB","Dmel",0.667,20,74
"vvl","SUB","Dsec",0.511,20,74
"vvl","SUB","Dsim",0.455,20,74
"CG32532","TY_1","Dmel",0.514,14,37
"CG32532","TY_1","Dsec",0.465,14,37
"CG32532","TY_1","Dsim",0.353,14,37
"Sox21a","TY_1","Dmel",0.432,2,37
"Sox21a","TY_1","Dsec",0.326,2,37
"Sox21a","TY_1","Dsim",0.404,2,37
"Fer2","TY_2","Dmel",0.488,1,71
"Fer2","TY_2","Dsec",0.647,1,71
"Fer2","TY_2","Dsim",0.5,1,71
"Sox21b","TY_2","Dmel",0.372,11,71
"Sox21b","TY_2","Dsec",0.471,11,71
"Sox21b","TY_2","Dsim",0.342,11,71
"SoxN","TY_2","Dmel",0.791,14,71
"SoxN","TY_2","Dsec",0.471,14,71
"SoxN","TY_2","Dsim",0.541,14,71
"da","TY_2","Dmel",0.326,12,71
"da","TY_2","Dsec",0.353,12,71
"da","TY_2","Dsim",0.351,12,71
"scro","TY_2","Dmel",0.791,5,71
"scro","TY_2","Dsec",0.735,5,71
"scro","TY_2","Dsim",0.895,5,71
"Atf6","Tbh","Dmel",0.467,9,75
"Atf6","Tbh","Dsec",0.357,9,75
"Atf6","Tbh","Dsim",0.4,9,75
"CG14431","Tbh","Dmel",0.5,9,75
"CG14431","Tbh","Dsec",0.357,9,75
"CG14431","Tbh","Dsim",0.533,9,75
"cnc","Tbh","Dmel",0.367,16,75
"cnc","Tbh","Dsec",0.357,16,75
"cnc","Tbh","Dsim",0.333,16,75
"dac","Tbh","Dmel",0.667,19,75
"dac","Tbh","Dsec",0.571,19,75
"dac","Tbh","Dsim",0.667,19,75
"rn","Tk_1","Dmel",0.337,17,16
"rn","Tk_1","Dsec",0.325,17,16
"rn","Tk_1","Dsim",0.345,17,16
"vvl","Tk_1","Dmel",0.322,20,16
"vvl","Tk_1","Dsec",0.35,20,16
"vvl","Tk_1","Dsim",0.367,20,16
"CG32532","Tk_2","Dmel",0.491,14,63
